N,values
0,254
1,252
2,248
3,243
4,240
5,250
6,248
7,257
8,243
9,249
10,242
11,252
12,242
13,254
14,246
15,247
16,241
17,257
18,258
19,236
20,249
21,254
22,242
23,253
24,256
25,246
26,241
27,249
28,239
29,245
30,248
31,237
32,246
33,255
34,242
35,239
36,248
37,232
38,250
39,235
40,240
41,250
42,251
43,248
44,259
45,260
46,243
47,240
48,253
49,236
50,236
51,242
52,240
53,254
54,236
55,241
56,241
57,236
58,257
59,256
60,250
61,246
62,264
63,238
64,253
65,262
66,248
67,245
68,256
69,248
70,253
71,247
72,243
73,251
74,244
75,243
76,268
77,250
78,245
79,250
80,253
81,238
82,238
83,241
84,237
85,243
86,235
87,236
88,260
89,258
90,245
91,243
92,233
93,242
94,256
95,242
96,235
97,241
98,237
99,250
100,258
101,254
102,250
103,254
104,255
105,237
106,248
107,236
108,247
109,244
110,239
111,237
112,239
113,240
114,267
115,252
116,253
117,251
118,253
119,251
120,246
121,245
122,233
123,250
124,252
125,258
126,260
127,254
128,232
129,255
130,249
131,251
132,253
133,246
134,252
135,225
136,249
137,237
138,261
139,244
140,237
141,241
142,247
143,247
144,240
145,248
146,246
147,249
148,232
149,238
150,242
151,242
152,248
153,260
154,233
155,247
156,239
157,242
158,248
159,252
160,243
161,246
162,247
163,254
164,254
165,228
166,243
167,241
168,237
169,247
170,259
171,255
172,254
173,243
174,245
175,243
176,237
177,249
178,247
179,254
180,238
181,247
182,248
183,248
184,248
185,250
186,246
187,240
188,246
189,233
190,245
191,239
192,243
193,237
194,251
195,247
196,245
197,263
198,255
199,244
200,253
201,241
202,253
203,246
204,247
205,244
206,250
207,233
208,233
209,244
210,242
211,243
212,259
213,236
214,236
215,242
216,248
217,245
218,248
219,246
220,237
221,278
222,225
223,242
224,241
225,239
226,246
227,254
228,236
229,254
230,243
231,251
232,240
233,229
234,243
235,240
236,243
237,244
238,243
239,253
240,239
241,252
242,246
243,235
244,243
245,246
246,244
247,239
248,240
249,248
250,234
251,241
252,237
253,255
254,253
255,256
256,246
257,241
258,242
259,251
260,246
261,249
262,250
263,246
264,249
265,254
266,231
267,257
268,256
269,252
270,251
271,249
272,248
273,248
274,236
275,242
276,267
277,255
278,255
279,250
280,256
281,228
282,244
283,257
284,247
285,248
286,255
287,244
288,248
289,246
290,255
291,236
292,246
293,245
294,238
295,249
296,248
297,253
298,233
299,236
300,242
301,244
302,239
303,246
304,258
305,244
306,238
307,245
308,234
309,242
310,251
311,255
312,248
313,244
314,250
315,255
316,249
317,241
318,253
319,252
320,239
321,249
322,236
323,242
324,253
325,255
326,233
327,239
328,246
329,243
330,258
331,252
332,241
333,231
334,263
335,250
336,247
337,248
338,237
339,258
340,235
341,245
342,238
343,235
344,259
345,241
346,235
347,237
348,241
349,248
350,244
351,261
352,238
353,226
354,251
355,242
356,246
357,266
358,246
359,234
360,238
361,258
362,245
363,245
364,234
365,238
366,237
367,232
368,239
369,237
370,245
371,246
372,256
373,260
374,248
375,250
376,229
377,236
378,240
379,242
380,247
381,236
382,239
383,241
384,250
385,252
386,247
387,251
388,251
389,231
390,237
391,249
392,238
393,243
394,244
395,257
396,236
397,242
398,247
399,251
400,254
401,240
402,236
403,246
404,254
405,232
406,250
407,263
408,248
409,249
410,235
411,253
412,245
413,256
414,231
415,241
416,243
417,254
418,249
419,255
420,239
421,252
422,243
423,246
424,242
425,235
426,242
427,250
428,252
429,244
430,259
431,260
432,239
433,251
434,252
435,249
436,253
437,236
438,243
439,239
440,257
441,250
442,247
443,257
444,241
445,252
446,238
447,256
448,236
449,252
450,236
451,253
452,248
453,235
454,245
455,255
456,247
457,244
458,259
459,245
460,249
461,247
462,233
463,248
464,245
465,242
466,252
467,260
468,241
469,244
470,264
471,242
472,261
473,241
474,259
475,247
476,241
477,247
478,244
479,264
480,233
481,252
482,245
483,240
484,251
485,245
486,255
487,251
488,253
489,238
490,244
491,252
492,243
493,242
494,249
495,242
496,258
497,240
498,244
499,263
500,254
501,232
502,247
503,233
504,256
505,241
506,253
507,252
508,247
509,244
510,252
511,246
512,241
513,232
514,241
515,244
516,244
517,228
518,245
519,248
520,239
521,247
522,248
523,246
524,244
525,247
526,245
527,240
528,260
529,258
530,238
531,233
532,249
533,249
534,247
535,255
536,247
537,241
538,241
539,245
540,239
541,252
542,240
543,256
544,251
545,237
546,237
547,240
548,245
549,240
550,243
551,229
552,237
553,251
554,253
555,239
556,247
557,242
558,252
559,233
560,243
561,262
562,250
563,244
564,250
565,247
566,235
567,255
568,240
569,248
570,243
571,241
572,248
573,242
574,254
575,244
576,244
577,240
578,239
579,260
580,245
581,243
582,254
583,242
584,235
585,230
586,243
587,238
588,253
589,229
590,249
591,253
592,247
593,252
594,242
595,234
596,253
597,253
598,255
599,232
600,234
601,261
602,253
603,248
604,244
605,236
606,265
607,242
608,242
609,248
610,244
611,254
612,245
613,242
614,239
615,241
616,243
617,245
618,247
619,232
620,239
621,261
622,242
623,246
624,248
625,250
626,243
627,252
628,242
629,247
630,242
631,243
632,235
633,254
634,239
635,246
636,241
637,248
638,257
639,263
640,246
641,256
642,243
643,242
644,239
645,242
646,245
647,249
648,246
649,247
650,249
651,235
652,252
653,242
654,253
655,252
656,243
657,248
658,240
659,247
660,232
661,252
662,246
663,255
664,243
665,233
666,254
667,252
668,228
669,243
670,237
671,246
672,232
673,244
674,238
675,242
676,233
677,262
678,249
679,241
680,241
681,249
682,237
683,235
684,247
685,241
686,252
687,246
688,237
689,248
690,241
691,239
692,243
693,251
694,258
695,251
696,246
697,254
698,254
699,238
700,243
701,238
702,232
703,236
704,238
705,243
706,243
707,254
708,237
709,256
